,Person,Total Gross,Number of Movies,Average,#1 Picture,Gross
674,Gina Rodriguez,341000000.0,9,$37.9,Ferdinand,84400000.0
675,Michelle Rodriguez,2410600000.0,20,$120.5,Avatar,760500000.0
676,Seth Rogen,2229500000.0,26,$85.7,Kung Fu Panda,215400000.0
677,Elisabeth Rohm,56500000.0,1,$56.5,Joy,56500000.0
678,Rebecca Romijn,680400000.0,8,$85.1,X-Men: The Last Stand,234400000.0
679,Saoirse Ronan,337800000.0,17,$19.9,The Grand Budapest Hotel,59300000.0
680,Michael Rooker,1439400000.0,32,$45.0,Guardians of the Galaxy 2,389800000.0
681,Emmy Rossum,363300000.0,13,$27.9,The Day After Tomorrow,186700000.0
682,Eli Roth,58500.0,1,$58.5k,Aftershock,58500.0
683,Jessica Rothe,251300000.0,7,$35.9,La La Land,151100000.0
684,Mickey Rourke,842300000.0,36,$23.4,Iron Man 2,312400000.0
685,Brandon Routh,203100000.0,3,$67.7,Superman Returns,200100000.0
686,Gena Rowlands,358200000.0,21,$17.1,The Notebook,81000000.0
687,Paul Rudd,2499400000.0,36,$69.4,Avengers: Endgame,452400000.0
688,Mark Ruffalo,3358700000.0,37,$90.8,Avengers: Infinity War,678800000.0
689,Geoffrey Rush,1714800000.0,32,$53.6,Pirates of the Caribbean 3,309400000.0
690,Alex Russell,180200000.0,4,$45.1,Unbroken,115600000.0
691,Kurt Russell,2208400000.0,37,$59.7,Guardians of the Galaxy 2,389800000.0
692,Rene Russo,1530000000.0,23,$66.5,Thor: The Dark World,206400000.0
693,Amy Ryan,511700000.0,21,$24.4,Central Intelligence,127400000.0
694,Meg Ryan,1151900000.0,29,$39.7,Top Gun,179800000.0
695,Winona Ryder,917100000.0,36,$25.5,Mr. Deeds,126300000.0
696,Mark Rylance,497200000.0,7,$71.0,Dunkirk,189700000.0
697,Katee Sackhoff,100100000.0,3,$33.4,Riddick,42000000.0
698,Zoe Saldana,3786700000.0,31,$122.2,Avatar,760500000.0
